organismName	taxId	checkmSpeciesTaxId	accession	completeness	gcPercent	superkingdom	phylum	class	order	family	genus	species
Candidatus Scalindua sp.	2268189		GCA_033023575.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_033023715.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_035063845.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_035256065.1		47.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiales bacterium	2760054		GCA_035283825.1		52.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_035292065.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiales bacterium	2760054		GCA_035293145.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiia bacterium	2517210		GCA_035389845.1		59.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadia sapporoensis	392547		GCA_035427305.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	392547 [species] Candidatus Brocadia sapporoensis
Candidatus Brocadiia bacterium	2517210		GCA_035449845.1		67.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Scalindua sp.	2268189		GCA_036011625.1		40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_036011825.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sediminis	2798304		GCA_036444505.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2798304 [species] Candidatus Scalindua sediminis
Candidatus Brocadiales bacterium	2760054		GCA_036475985.1		53.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Scalindua sediminis	2798304		GCA_036477455.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2798304 [species] Candidatus Scalindua sediminis
Candidatus Brocadiales bacterium	2760054		GCA_036480995.1		54.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiales bacterium	2760054		GCA_036481595.1		53.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Scalindua sp.	2268189		GCA_036481935.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiales bacterium	2760054		GCA_036482495.1		52.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiales bacterium	2760054		GCA_036482525.1		54.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_036517955.1		41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiales bacterium	2760054		GCA_036850515.1		51.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Kuenenia sp.	2499824		GCA_038144795.1		62.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824	2499824	GCA_039794105.1	94.83	41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_039794405.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadia sp.	2172549		GCA_040048245.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_041402065.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Scalinduaceae bacterium	3015208		GCA_041402085.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	NA	3015208 [species] Candidatus Scalinduaceae bacterium
Candidatus Scalinduaceae bacterium	3015208		GCA_041402105.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	NA	3015208 [species] Candidatus Scalinduaceae bacterium
Candidatus Scalindua sp.	2268189		GCA_041598915.1		37.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_041629195.1		41.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalindua sp.	2268189		GCA_041629695.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiia bacterium	2517210		GCA_041648755.1		57.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_041658285.1		49.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Kuenenia sp.	2499824		GCA_043718195.1		55.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043718275.1		53.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043721715.1		55.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043722015.1		55.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043733985.1		55.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043737515.1		55.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043744915.1		53.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043748155.1		53.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043750775.1		57.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043754375.1		55.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043758225.1		53.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Kuenenia sp.	2499824		GCA_043775985.1		53.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Jettenia caeni	247490		GCA_045863495.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	360731 [genus] Candidatus Jettenia	247490 [species] Candidatus Jettenia caeni
Candidatus Brocadia sp.	2172549		GCA_046291035.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	2172549 [species] Candidatus Brocadia sp.
Candidatus Brocadiales bacterium	2760054		GCA_046291805.1		52.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Brocadia sapporoensis	392547		GCA_046350575.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	392547 [species] Candidatus Brocadia sapporoensis
Candidatus Brocadiaceae bacterium	2094028		GCA_046350595.1		42.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiia bacterium	2517210		GCA_046483385.1		65.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_046483865.1		67.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_046538415.1		71.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_046538485.1		54.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Brocadiia bacterium	2517210		GCA_046539705.1		57.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Scalindua sp.	2268189		GCA_046557925.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Scalinduaceae bacterium	3015208		GCA_046757465.1		38.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	NA	3015208 [species] Candidatus Scalinduaceae bacterium
Candidatus Scalindua sp.	2268189		GCA_046757745.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Brocadiales bacterium	2760054		GCA_046758865.1		49.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Scalinduaceae bacterium	3015208		GCA_046759445.1		37.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	NA	3015208 [species] Candidatus Scalinduaceae bacterium
Candidatus Brocadiales bacterium	2760054		GCA_046759685.1		49.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	NA	NA	2760054 [species] Candidatus Brocadiales bacterium
Candidatus Scalindua sp.	2268189		GCA_048060935.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	2897346 [family] Candidatus Scalinduaceae	236756 [genus] Candidatus Scalindua	2268189 [species] Candidatus Scalindua sp.
Candidatus Kuenenia sp.	2499824	2499824	GCA_048500235.1	94.83	41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	2499824 [species] Candidatus Kuenenia sp.
Candidatus Brocadiia bacterium	2517210		GCA_048618555.1		59.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	NA	NA	NA	2517210 [species] Candidatus Brocadiia bacterium
Candidatus Loosdrechtia sp.	3101272		GCA_049311485.1		41.5	NA	NA	NA	NA	NA	NA	NA
Candidatus Kuenenia stuttgartiensis	174633	174633	GCA_900232105.1	94.83	41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633	174633	GCA_900232175.1	94.83	41.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
uncultured Candidatus Brocadia sp.	397282		GCA_900696475.1		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380240 [genus] Candidatus Brocadia	397282 [species] uncultured Candidatus Brocadia sp.
uncultured Candidatus Kuenenia sp.	1048336	1048336	GCA_900696675.1	99.41	40.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	1048336 [species] uncultured Candidatus Kuenenia sp.
Candidatus Brocadiaceae bacterium	2094028		GCA_905339135.1		42.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919901575.1		39.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919901605.1		38.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919901715.1		47.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919901895.1		44.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919902455.1		47.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919902695.1		47.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919902705.1		47.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919902715.1		47.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Brocadiaceae bacterium	2094028		GCA_919902975.1		50.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	NA	2094028 [species] Candidatus Brocadiaceae bacterium
Candidatus Kuenenia stuttgartiensis	174633		GCA_943322855.2		63.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943326025.2		30.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943327465.2		45.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943327555.2		48.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943328425.2		58.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943328605.2		35.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943328645.2		65.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943328875.2		43.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943328935.2		62.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943329095.2		66.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943329845.2		66.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943329905.2		57.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943330235.2		66.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943330485.2		58.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943330725.2		57.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943330835.2		34.5	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943331225.2		40.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
Candidatus Kuenenia stuttgartiensis	174633		GCA_943331275.2		54.0	NA	203682 [phylum] Planctomycetota	2517206 [class] Candidatus Brocadiia	1127829 [order] Candidatus Brocadiales	1127830 [family] Candidatus Brocadiaceae	380738 [genus] Candidatus Kuenenia	174633 [species] Candidatus Kuenenia stuttgartiensis
